Value,Type,Category
2488400.0,True MC Data,Data
2671200.0,True MC Data,Data
2422000.0,True MC Data,Data
2499200.0,True MC Data,Data
2578900.0,True MC Data,Data
2513200.0,True MC Data,Data
2406900.0,True MC Data,Data
2387800.0,True MC Data,Data
2448300.0,True MC Data,Data
2568800.0,True MC Data,Data
2284900.0,True MC Data,Data
2345700.0,True MC Data,Data
2605400.0,True MC Data,Data
2558200.0,True MC Data,Data
2533900.0,True MC Data,Data
2546300.0,True MC Data,Data
2316200.0,True MC Data,Data
2199200.0,True MC Data,Data
2486400.0,True MC Data,Data
2369900.0,True MC Data,Data
2544100.0,True MC Data,Data
2263100.0,True MC Data,Data
2480600.0,True MC Data,Data
2616700.0,True MC Data,Data
2414000.0,True MC Data,Data
2386300.0,True MC Data,Data
2454700.0,True MC Data,Data
2491100.0,True MC Data,Data
2604100.0,True MC Data,Data
2441900.0,True MC Data,Data
2267600.0,True MC Data,Data
2353600.0,True MC Data,Data
2329100.0,True MC Data,Data
2444400.0,True MC Data,Data
2541500.0,True MC Data,Data
2608600.0,True MC Data,Data
2346300.0,True MC Data,Data
2431000.0,True MC Data,Data
2322200.0,True MC Data,Data
2516000.0,True MC Data,Data
2570600.0,True MC Data,Data
2402100.0,True MC Data,Data
2413900.0,True MC Data,Data
2568600.0,True MC Data,Data
2466100.0,True MC Data,Data
2272000.0,True MC Data,Data
2353900.0,True MC Data,Data
2405300.0,True MC Data,Data
2297300.0,True MC Data,Data
2475800.0,True MC Data,Data
2343100.0,True MC Data,Data
2361400.0,True MC Data,Data
2458700.0,True MC Data,Data
2547800.0,True MC Data,Data
2506300.0,True MC Data,Data
2268200.0,True MC Data,Data
2150200.0,True MC Data,Data
2377000.0,True MC Data,Data
2515900.0,True MC Data,Data
2559000.0,True MC Data,Data
2460000.0,True MC Data,Data
2208800.0,True MC Data,Data
2535500.0,True MC Data,Data
2475500.0,True MC Data,Data
2246700.0,True MC Data,Data
2447000.0,True MC Data,Data
2570300.0,True MC Data,Data
2495200.0,True MC Data,Data
2647100.0,True MC Data,Data
2342500.0,True MC Data,Data
2349500.0,True MC Data,Data
2511500.0,True MC Data,Data
2587500.0,True MC Data,Data
2502500.0,True MC Data,Data
2539200.0,True MC Data,Data
2353600.0,True MC Data,Data
2366600.0,True MC Data,Data
2353900.0,True MC Data,Data
2503100.0,True MC Data,Data
2324000.0,True MC Data,Data
2414000.0,True MC Data,Data
2316900.0,True MC Data,Data
2324300.0,True MC Data,Data
2425400.0,True MC Data,Data
2283600.0,True MC Data,Data
2442400.0,True MC Data,Data
2492000.0,True MC Data,Data
2505800.0,True MC Data,Data
2570500.0,True MC Data,Data
2504500.0,True MC Data,Data
2559800.0,True MC Data,Data
2598600.0,True MC Data,Data
2544200.0,True MC Data,Data
2536900.0,True MC Data,Data
2326400.0,True MC Data,Data
2355200.0,True MC Data,Data
2294800.0,True MC Data,Data
2477600.0,True MC Data,Data
2250700.0,True MC Data,Data
2366200.0,True MC Data,Data
2476400.0,True MC Data,Data
2351000.0,True MC Data,Data
2227800.0,True MC Data,Data
2464800.0,True MC Data,Data
2448600.0,True MC Data,Data
2330800.0,True MC Data,Data
2678200.0,True MC Data,Data
2573600.0,True MC Data,Data
2428200.0,True MC Data,Data
2459000.0,True MC Data,Data
2549000.0,True MC Data,Data
2418700.0,True MC Data,Data
2419600.0,True MC Data,Data
2531900.0,True MC Data,Data
2463500.0,True MC Data,Data
2502300.0,True MC Data,Data
2286100.0,True MC Data,Data
